pl_name,pl_eqt,temp_score
HD 40307 g,255.0,0.0
TOI-1338 b,254.65,0.3499999999999943
TOI-2257 b,256.0,1.0
Kepler-1544 b,256.0,1.0
HD 152843 c,253.08,1.9199999999999875
Kepler-1625 b,253.0,2.0
Kepler-539 c,253.0,2.0
Kepler-1362 b,251.0,4.0
Kepler-87 c,259.0,4.0
Kepler-1410 b,251.0,4.0
Kepler-1552 b,251.0,4.0
HD 109286 b,259.4,4.399999999999977
Wolf 1069 b,250.1,4.900000000000006
Kepler-991 b,260.0,5.0
Kepler-442 b,260.0,5.0
TRAPPIST-1 e,249.7,5.300000000000011
Kepler-1840 b,249.0,6.0
HD 27969 b,261.0,6.0
Kepler-1636 b,248.0,7.0
Kepler-443 b,246.0,9.0
Kepler-452 b,265.0,10.0
Kepler-62 e,265.0,10.0
Kepler-1540 b,266.0,11.0
K2-332 b,266.0,11.0
Kepler-712 c,244.0,11.0
Kepler-296 e,244.0,11.0
Kepler-235 e,266.0,11.0
Kepler-1554 b,266.0,11.0
TOI-1227 b,243.77,11.22999999999999
Kepler-22 b,267.0,12.0
Kepler-1097 b,267.0,12.0
Kepler-1996 c,267.0,12.0
Kepler-1690 b,267.0,12.0
Kepler-1661 b,243.0,12.0
Kepler-1746 b,268.0,13.0
Kepler-725 c,268.0,13.0
Kepler-1652 b,242.0,13.0
Kepler-553 c,242.0,13.0
TOI-4633 c,268.57,13.569999999999993
TOI-700 d,268.8,13.800000000000011
Kepler-1341 b,241.0,14.0
WASP-41 c,241.0,14.0
Kepler-1628 b,240.0,15.0
Kepler-1981 b,270.0,15.0
Kepler-560 b,270.0,15.0
Kepler-436 b,271.0,16.0
Kepler-1058 b,239.0,16.0
Kepler-1653 b,271.0,16.0
LP 890-9 c,272.0,17.0
TOI-4127 b,272.0,17.0
K2-18 b,272.0,17.0
TOI-700 e,272.9,17.899999999999977
Kepler-1701 b,273.0,18.0
Kepler-1545 b,274.0,19.0
Kepler-967 c,236.0,19.0
TOI-1736 c,274.0,19.0
Kepler-61 b,274.0,19.0
Kepler-159 c,275.0,20.0
eps Ind A b,275.0,20.0
TOI-2295 c,234.9,20.099999999999994
HN Lib b,234.4,20.599999999999994
TOI-715 b,234.0,21.0
Kepler-1143 c,234.0,21.0
Kepler-1649 c,234.0,21.0
Teegarden's Star b,277.0,22.0
KIC 9663113 b,232.0,23.0
HD 191939 g,278.0,23.0
GJ 1002 b,230.9,24.099999999999994
LHS 1140 b,230.0,25.0
Kepler-1638 b,281.0,26.0
Kepler-705 b,229.0,26.0
Kepler-440 b,229.0,26.0
Kepler-69 c,281.0,26.0
Proxima Cen d,282.0,27.0
Kepler-1634 b,282.0,27.0
Kepler-1519 b,283.0,28.0
K2-288 B b,226.36,28.639999999999986
Kepler-439 b,284.0,29.0
L 98-59 f,285.0,30.0
Kepler-1549 b,286.0,31.0
Kepler-289 e,286.0,31.0
TRAPPIST-1 d,286.2,31.19999999999999
Kepler-1704 b,223.0,32.0
TOI-2285 b,287.08,32.079999999999984
Kepler-438 b,288.0,33.0
TOI-1266 d,288.0,33.0
Kepler-1090 b,288.0,33.0
Kepler-1881 b,289.0,34.0
KOI-1783.02,290.0,35.0
GJ 357 d,219.6,35.400000000000006
GJ 536 c,290.5,35.5
WASP-47 c,219.3,35.69999999999999
TOI-904 c,219.12,35.879999999999995
Kepler-315 c,291.0,36.0
Kepler-867 b,291.0,36.0
Kepler-298 d,291.0,36.0
Kepler-395 c,292.0,37.0
Kepler-1606 b,292.0,37.0
TOI-712 d,292.0,37.0
Kepler-138 e,292.0,37.0
TRAPPIST-1 f,217.7,37.30000000000001
TOI-2088 b,292.66,37.660000000000025
Kepler-1038 b,293.0,38.0
Kepler-296 d,293.0,38.0
Kepler-1388 e,294.0,39.0
HIP 41378 f,294.0,39.0
Kepler-437 b,294.0,39.0
Proxima Cen b,216.0,39.0
KOI-351 h,294.0,39.0
Kepler-397 c,295.0,40.0
Kepler-468 b,214.07,40.93000000000001
K2-133 e,296.0,41.0
TOI-2095 c,297.0,42.0
Kepler-1040 b,297.0,42.0
Kepler-1868 b,212.0,43.0
Kepler-1750 b,298.0,43.0
Kepler-1455 b,298.0,43.0
Kepler-1533 b,298.0,43.0
Kepler-174 d,212.0,43.0
Kepler-1649 b,211.0,44.0
Kepler-1600 b,211.0,44.0
Kepler-1086 c,211.0,44.0
Kepler-1389 b,300.0,45.0
K2-3 d,300.0,45.0
GJ 1132 c,300.0,45.0
Ross 128 b,301.0,46.0
Kepler-993 b,301.0,46.0
Kepler-1539 b,301.0,46.0
Teegarden's Star c,209.0,46.0
Kepler-1052 c,302.0,47.0
Kepler-62 f,208.0,47.0
Kepler-267 d,303.0,48.0
TOI-1224 c,303.12,48.120000000000005
Kepler-841 b,304.0,49.0
Kepler-1654 b,206.0,49.0
Kepler-896 b,304.0,49.0
Kepler-445 d,305.0,50.0
Kepler-149 d,306.0,51.0
PH2 b,306.0,51.0
Kepler-1126 c,306.0,51.0
HD 80869 b,203.2,51.80000000000001
Kepler-30 d,308.0,53.0
Kepler-1318 b,202.0,53.0
