pl_name,hostname,pl_eqt,pl_rade,pl_orbsmax,pl_masse,st_teff,st_lum
BD+20 594 b,BD+20 594,546.0,2.23,0.241,16.3,5766.0,-0.05552
BD+60 1417 b,BD+60 1417,1303.0,14.68376472,1662.0,4767.426105,4993.0,0.35595
BD-14 3065 b,BD-14 3065 A,2001.0,21.59,0.0656,3932.0,6935.0,1.06
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1800.0,20.8487041,200.0,2479.0615746,2320.0,-2.85
COCONUTS-2 b,COCONUTS-2 A,434.0,12.44196858,7506.0,2002.3189641,3406.0,-1.732
CoRoT-19 b,CoRoT-19,2000.0,14.46,0.0518,352.78,6090.0,0.544
CoRoT-32 b,CoRoT-32,938.0,6.38913,0.071,47.6745,5970.0,-0.1549
EPIC 201595106 b,EPIC 201595106,2038.0,1.565,0.0177,7.67,5679.0,-0.04915
EPIC 246851721 b,EPIC 246851721,1401.0,11.780659,0.07229,953.49,6202.0,0.52634
G 9-40 b,G 9-40,440.6,1.9,0.0418,4.0,3395.0,-1.96019
G 9-40 b,G 9-40,456.0,2.025,0.0385,11.7,3348.0,-1.97102
GJ 1132 b,GJ 1132,583.8,1.19151465,0.0157,1.83704819,3229.0,-2.32148
GJ 1132 b,GJ 1132,529.0,1.13,0.0153,1.66,3270.0,-2.35853
GJ 1214 b,GJ 1214,596.0,2.742,0.0149,8.17,3250.0,-2.33724
GJ 1214 b,GJ 1214,567.0,2.733,0.01505,8.41,3101.0,-2.40894
GJ 1252 b,GJ 1252,1089.0,1.193,0.00916,2.09,3458.0,-1.70774
GJ 143 b,GJ 143,422.0,2.61,0.1915,22.7,4640.0,-0.6862
GJ 3090 b,GJ 3090,693.0,2.13,0.03165,3.34,3556.0,-1.34199
GJ 3470 b,GJ 3470,615.0,4.2,0.0348,14.0,3600.0,-1.538
GJ 3473 b,GJ 3473,773.0,1.264,0.01589,1.86,3347.0,-1.82391
GJ 357 b,GJ 357,525.0,1.217,0.035,1.84,3505.0,-1.79833
GJ 367 b,GJ 367,1745.0,0.718,0.0071,0.546,3522.0,-1.54061
GJ 367 b,GJ 367,1365.0,0.699,0.00709,0.633,3522.0,-1.5391
GJ 3929 b,GJ 3929,568.0,1.09,0.0252,1.75,3384.0,-1.96257
GJ 3929 b,GJ 3929,568.8,1.15,0.02569,1.21,3369.0,-1.93742
GJ 436 b,GJ 436,649.0,4.2224,0.02872,23.1688,3350.0,-1.585
GJ 486 b,GJ 486,701.0,1.305,0.01734,2.82,3340.0,-1.91721
GJ 486 b,GJ 486,706.0,1.343,0.01713,3.0,3291.0,-1.9165
GJ 486 b,GJ 486,696.3,1.289,0.01714,2.77,3317.0,-1.93892
GJ 806 b,GJ 806,940.0,1.331,0.01406,1.9,3600.0,-1.58528
GJ 9827 d,GJ 9827,675.0,1.98,0.053,3.02,4236.0,-1.00436
GPX-1 b,GPX-1,2300.0,16.47720163,0.0338,6261.2196179,7000.0,0.72673
Gliese 12 b,Gliese 12,315.0,0.9,0.067,10.0,3253.0,-2.13077
Gliese 12 b,Gliese 12,314.6,0.958,0.0668,3.87,3296.0,-2.13787
HAT-P-1 b,HAT-P-1,1306.0,13.921578,0.0553,169.08556,5975.0,0.17026
HAT-P-11 b,HAT-P-11,878.0,4.73,0.053,25.743,4780.0,-0.585
HAT-P-12 b,HAT-P-12,963.0,10.749,0.0384,67.059,4650.0,-0.678
HAT-P-13 b,HAT-P-13,1653.0,14.359,0.0427,271.098,5653.0,0.346
HAT-P-14 b,HAT-P-14,1570.0,12.89,0.0606,709.367,6600.0,0.563
HAT-P-14 b,HAT-P-14,1612.0,13.4508,0.0596,724.6524,6583.0,0.59218
HAT-P-15 b,HAT-P-15,904.0,12.016,0.0964,618.471,5568.0,0.0
HAT-P-16 b,HAT-P-16,1626.0,14.448,0.0413,1332.605,6158.0,0.29447
HAT-P-17 b,HAT-P-17,792.0,11.321,0.0882,169.71,5246.0,-0.319
HAT-P-18 b,HAT-P-18,852.0,11.153,0.0559,62.61,4803.0,-0.569
HAT-P-19 b,HAT-P-19,981.2,11.29865255,0.04599,88.03846874,4962.0,-0.48545
HAT-P-19 b,HAT-P-19,1010.0,12.689,0.0466,92.802,4990.0,-0.432
HAT-P-2 b,HAT-P-2,1398.0,11.242627,0.0679,2771.4776,6290.0,0.50515
HAT-P-2 b,HAT-P-2,1540.0,12.969,0.06878,2888.95,6290.0,0.577
HAT-P-20 b,HAT-P-20,970.0,9.718,0.0361,2302.899,4595.0,-0.721
HAT-P-21 b,HAT-P-21,1283.0,11.478,0.0494,1291.289,5588.0,0.025
HAT-P-22 b,HAT-P-22,1283.0,12.106,0.0414,682.352,5302.0,-0.114
HAT-P-23 b,HAT-P-23,2056.0,15.334,0.0232,664.237,5905.0,0.199
HAT-P-24 b,HAT-P-24,1637.0,13.922,0.0465,217.704,6373.0,0.408
HAT-P-25 b,HAT-P-25,1182.0,12.722215,0.0466,180.84527,5519.0,-0.15181
HAT-P-25 b,HAT-P-25,1202.0,13.339,0.0466,180.202,5500.0,-0.125
HAT-P-26 b,HAT-P-26,1001.0,6.333,0.0479,18.751,5079.0,-0.42
HAT-P-28 b,HAT-P-28,1384.0,13.585,0.0434,198.953,5680.0,0.053
HAT-P-29 b,HAT-P-29,1260.0,12.408,0.0667,247.261,6087.0,0.265
HAT-P-29 b,HAT-P-29,1271.0,11.926376,0.0665,243.77561,6115.0,0.2833
HAT-P-3 b,HAT-P-3,1127.0,10.076891,0.03882,189.42668,5185.0,-0.34775
HAT-P-30 b,HAT-P-30,1630.0,15.02,0.0419,225.968,6304.0,0.312
HAT-P-31 b,HAT-P-31,1450.0,11.99,0.055,689.98,6065.0,0.348
HAT-P-32 b,HAT-P-32,1835.7,22.19382,0.03397,216.1244,6001.0,0.33806
HAT-P-32 b,HAT-P-32,1786.0,20.053,0.0343,273.322,6207.0,0.294
HAT-P-33 b,HAT-P-33,1782.0,18.898,0.0499,242.176,6446.0,0.618
HAT-P-34 b,HAT-P-34,1520.0,13.417,0.0677,1057.694,6442.0,0.56
HAT-P-35 b,HAT-P-35,1581.0,14.93,0.0498,334.979,6096.0,0.407
HAT-P-36 b,HAT-P-36,1823.0,14.168,0.0238,582.24,5560.0,0.013
HAT-P-36 b,HAT-P-36,1820.2,15.210613,0.02402,611.82275,5560.0,0.02243
HAT-P-37 b,HAT-P-37,1271.0,13.204,0.0379,371.528,5500.0,-0.208
HAT-P-38 b,HAT-P-38,1082.0,9.247,0.0523,84.857,5330.0,-0.208
HAT-P-39 b,HAT-P-39,1752.0,17.609,0.0509,190.372,6430.0,0.607
HAT-P-4 b,HAT-P-4,1686.0,14.28,0.04438,213.255,5860.0,0.431
HAT-P-40 b,HAT-P-40,1770.0,19.392,0.0608,195.457,6080.0,0.778
HAT-P-41 b,HAT-P-41,1941.0,18.887,0.0426,254.253,6390.0,0.628
HAT-P-42 b,HAT-P-42,1428.0,14.348,0.0575,331.801,5743.0,0.356
HAT-P-43 b,HAT-P-43,1361.0,14.359,0.0443,210.395,5645.0,0.045
HAT-P-44 b,HAT-P-44,1108.0,13.922,0.0507,111.871,5295.0,-0.194
HAT-P-45 b,HAT-P-45,1652.0,15.984,0.0452,283.492,6330.0,0.4
HAT-P-46 b,HAT-P-46,1458.0,14.392,0.0577,156.684,6120.0,0.391
HAT-P-49 b,HAT-P-49,2131.0,15.838,0.0438,549.823,6820.0,0.814
HAT-P-5 b,HAT-P-5,1539.0,14.056086,0.04071,336.8998,5960.0,0.1875
HAT-P-50 b,HAT-P-50,1862.0,14.437192,0.0453,429.0705,6280.0,0.60314
HAT-P-51 b,HAT-P-51,1168.2,13.50682174,0.05042,97.57332095,5453.0,-0.10237
HAT-P-51 b,HAT-P-51,1192.0,14.493237,0.05069,98.20947,5449.0,-0.06601
HAT-P-52 b,HAT-P-52,1218.0,11.309881,0.03694,259.98494,5131.0,-0.30452
HAT-P-53 b,HAT-P-53,1778.0,14.773462,0.03159,471.65972,5956.0,0.21748
HAT-P-54 b,HAT-P-54,818.0,10.581296,0.04117,241.5508,4390.0,-0.9017
HAT-P-55 b,HAT-P-55,1367.0,14.84069045,0.04628,189.42573057,5804.0,0.09656
HAT-P-57 b,HAT-P-57,2200.0,15.838317,0.0406,587.9855,7500.0,0.80618
HAT-P-58 b,HAT-P-58,1622.0,14.93036229,0.04994,118.2321674,6078.0,0.45637
