pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
132.26,6.38913,0.071,47.6745,3.6784313725490194
2852.0,1.565,0.0177,7.67,7.992156862745098
4293.0,1.82,0.01312,9.0,8.090196078431372
4656.0,1.676,0.01314,7.8,9.015686274509804
4670.0,1.725,0.01326,8.21,9.019607843137255
64.0,2.77,0.1071,5.7,2.831372549019608
70.0,2.836,0.1083,8.9,3.156862745098039
70.0,2.84,0.1073,7.32,3.152941176470588
69.7,2.332,0.1237,10.4,3.152941176470588
642.0,11.780659,0.07229,953.49,5.4941176470588236
0.19,12.44199,4.5,4131.79,0.7176470588235294
1037.0,1.95,0.047,8.75,6.337254901960784
160.0,3.67,0.13,14.67,3.8823529411764706
53.0,3.94,0.22,10.18,2.9490196078431374
6.27,1.9,0.0418,4.0,1.7278431372549021
7.2,2.025,0.0385,11.7,1.7882352941176471
19.3,1.19151465,0.0157,1.83704819,2.289411764705882
21.0,2.742,0.0149,8.17,2.3372549019607844
17.2,2.733,0.01505,8.41,2.223529411764706
59.4,1.264,0.01589,1.86,3.0313725490196077
12.6,1.217,0.035,1.84,2.0588235294117645
579.0,0.699,0.00709,0.633,5.352941176470588
17.3,1.09,0.0252,1.75,2.227450980392157
17.5,1.15,0.02569,1.21,2.2305882352941175
40.3,1.305,0.01734,2.82,2.7490196078431373
41.3,1.343,0.01713,3.0,2.768627450980392
39.2,1.289,0.01714,2.77,2.7305882352941175
130.0,1.331,0.01406,1.9,3.6862745098039214
315.0,1.62,0.01888,3.42,4.596078431372549
256.0,1.58,0.0206,3.69,4.368627450980392
318.0,1.577,0.0188,5.14,4.607843137254902
72.0,1.269,0.03942,2.42,3.180392156862745
73.0,1.241,0.03925,1.3,3.1882352941176473
59.0,1.24,0.0429,1.45,3.023529411764706
34.9,1.98,0.053,3.02,2.6470588235294117
29.0,2.04,0.0611,2.35,2.533333333333333
36.0,2.022,0.0559,3.53,2.6705882352941175
35.6,2.07,0.05615,5.2,2.6666666666666665
4650.0,16.47720163,0.0338,6261.2196179,9.019607843137255
1.6,0.9,0.067,10.0,1.2352941176470589
1.62,0.958,0.0668,3.87,1.2337254901960786
154.0,11.29865255,0.04599,88.03846874,3.8478431372549022
325.0,12.722215,0.0466,180.84527,4.635294117647059
433.0,11.926376,0.0665,243.77561,4.984313725490196
1841.0,22.19382,0.03397,216.1244,7.198823529411765
1821.0,15.210613,0.02402,611.82275,7.138039215686275
310.0,13.50682174,0.05042,97.57332095,4.581176470588235
583.0,14.84069045,0.04628,189.42573057,5.36078431372549
1146.0,14.93036229,0.04994,118.2321674,6.36078431372549
441.4,12.58768533,0.05064,489.45574678,5.0109803921568625
1634.0,18.28184752,0.06277,182.43350562,6.949019607843137
849.5,10.07687365,0.0301,335.9446262,5.901960784313726
867.2,12.02723629,0.03772,241.86741773,5.929411764705883
387.4,12.5428494,0.04294,195.1466419,4.850980392156862
1611.0,19.08889413,0.05387,184.34047606,6.925490196078432
1821.0,18.05766791,0.04042,176.07693748,7.129411764705883
184.8,12.016048,0.02996,230.10892,4.030588235294117
931.0,15.614137,0.05287,238.05467,6.03921568627451
72.7,8.709393,0.1308,425.25654,3.1921568627450982
2990.0,14.986433,0.01761,629.3034,8.07843137254902
561.0,13.843115,0.05425,1022.14128,5.317647058823529
229.7,6.792654,0.04913,31.46517,4.254901960784314
464.7,6.882326,0.05036,23.51942,5.074509803921568
87.73,12.520453,0.04269,117.27927,3.344705882352941
137.6,8.9672,0.03769,77.23269,3.743529411764706
80.45,8.574885,0.04515,112.19399,3.273725490196078
269.0,12.621334,0.06112,256.17098,4.423529411764706
903.9,12.923977,0.04708,210.40346,5.992156862745098
374.2,13.394755,0.07908,1080.622,4.8082352941176465
387.4,11.825495,0.04163,56.89157,4.850980392156862
634.1,13.529263,0.04026,305.1168,5.483529411764706
1711.0,18.819911,0.06562,305.1168,7.031372549019608
1178.0,16.824709,0.04497,260.93843,6.407843137254902
2637.0,15.815899,0.04714,1694.0339,7.8352941176470585
3821.0,18.887165,0.03032,460.8535,8.6
1521.0,13.809488,0.05071,410.0007,6.827450980392157
466.6,10.592505,0.03211,183.38791,5.081176470588235
9110.0,15.513256,0.03632,4100.007,10.705882352941176
49.58,8.0973816,0.066517,39.855882,2.8992156862745095
106.9,11.56766808,0.02384,464.02947422,3.5101960784313726
59.26,9.90873894,0.032742,156.05374784,3.028627450980392
129.8,12.09449018,0.02658,835.570882,3.685490196078431
78.37,13.05846252,0.03607,436.69623122,3.248235294117647
735.49,2.05,0.035,4.55,5.376470588235295
755.3,12.73340208,0.07071,688.41632956,5.858823529411764
593.4,12.06086323,0.08635,725.28442477,5.333333333333333
73.7,2.51,0.12,5.7,3.196078431372549
111.6,1.664,0.0964,4.72,3.549019607843137
114.0,1.482,0.0969,4.62,3.5725490196078433
35.1,2.916,0.1721,11.24,2.6549019607843136
36.0,2.608,0.1729,11.29,2.6745098039215685
5.74,2.562,0.425,8.82,1.6901960784313725
356.0,11.500434,0.1097,131.89945,4.816862745098039
58.1,3.55,0.1334,19.7,3.015686274509804
145.0,2.7,0.05,25.5,3.384313725490196
356.0,12.542871,0.03106,370.58978,4.741176470588235
100.0,3.41,0.0804,10.0,3.450980392156863
21.0,3.195,0.1752,8.0,2.3529411764705883
14.3,2.995,0.2132,2.8,2.1176470588235294
3440.0,17.317905,0.05208,323.23311,8.36078431372549
3474.0,1.72,0.018,7.42,8.39607843137255
72.9,2.25,0.0629,6.1,2.9137254901960783
26.5,2.501,0.1163,14.4,2.47921568627451
176.2,1.602,0.03876,4.74,3.980392156862745
62.1,1.511,0.0653,4.36,3.066666666666667
4.72,1.61,0.237,16.17,1.6098039215686275
12.38,1.31,0.1463,7.3,2.0494117647058823
18.561,2.607,0.2958,26.57,2.1411764705882352
16.0,2.0,0.1162,8.32,2.1294117647058823
7.96,1.87,0.1646,3.41,1.8313725490196078
117.0,0.75,0.04298,0.55,3.5647058823529414
46.7,0.818,0.068,0.72,2.835294117647059
26.3,1.137,0.0906,0.77,2.4705882352941178
461.4,2.62,0.076,8.5,5.0588235294117645
1413.5,1.5,0.0435,4.1,6.694117647058824
42.2,1.24,0.02933,2.14,2.780392156862745
16.1,1.533,0.04749,3.09,2.184313725490196
1650.0,1.67,0.01796,4.97,6.956862745098039
16.9,3.0,0.1776,11.13,2.211764705882353
98.09,9.718203,0.1436,77.55052,3.4352941176470586
74.7,3.41,0.111,9.1,2.8078431372549018
61.0,3.48,0.107,9.6,3.0470588235294116
54.1,3.36,0.109,5.8,2.9607843137254903
132.0,2.45,0.1202,7.8,3.6980392156862747
339.1,2.45,0.059,10.8,4.682352941176471
43.3,2.79,0.0604,10.2,2.8
46.2,2.84,0.05995,15.9,2.912549019607843
10.2,2.39,0.1242,9.7,1.9529411764705882
11.76,2.73,0.1233,22.5,2.0305882352941174
6130.0,1.613,0.01661,5.72,9.658823529411764
