pl_name,hostname,pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
CoRoT-32 b,CoRoT-32,132.26,6.38913,0.071,47.6745,938.0
EPIC 201595106 b,EPIC 201595106,2852.0,1.565,0.0177,7.67,2038.0
EPIC 220674823 b,EPIC 220674823,4293.0,1.82,0.01312,9.0,2063.0
EPIC 220674823 b,EPIC 220674823,4656.0,1.676,0.01314,7.8,2299.0
EPIC 220674823 b,EPIC 220674823,4670.0,1.725,0.01326,8.21,2300.0
EPIC 220674823 c,EPIC 220674823,64.0,2.77,0.1071,5.7,722.0
EPIC 220674823 c,EPIC 220674823,70.0,2.836,0.1083,8.9,805.0
EPIC 220674823 c,EPIC 220674823,70.0,2.84,0.1073,7.32,804.0
EPIC 229004835 b,EPIC 229004835,69.7,2.332,0.1237,10.4,804.0
EPIC 246851721 b,EPIC 246851721,642.0,11.780659,0.07229,953.49,1401.0
EPIC 248847494 b,EPIC 248847494,0.19,12.44199,4.5,4131.79,183.0
EPIC 249893012 b,EPIC 249893012,1037.0,1.95,0.047,8.75,1616.0
EPIC 249893012 c,EPIC 249893012,160.0,3.67,0.13,14.67,990.0
EPIC 249893012 d,EPIC 249893012,53.0,3.94,0.22,10.18,752.0
G 9-40 b,G 9-40,6.27,1.9,0.0418,4.0,440.6
G 9-40 b,G 9-40,7.2,2.025,0.0385,11.7,456.0
GJ 1132 b,GJ 1132,19.3,1.19151465,0.0157,1.83704819,583.8
GJ 1214 b,GJ 1214,21.0,2.742,0.0149,8.17,596.0
GJ 1214 b,GJ 1214,17.2,2.733,0.01505,8.41,567.0
GJ 3473 b,GJ 3473,59.4,1.264,0.01589,1.86,773.0
GJ 357 b,GJ 357,12.6,1.217,0.035,1.84,525.0
GJ 367 b,GJ 367,579.0,0.699,0.00709,0.633,1365.0
GJ 3929 b,GJ 3929,17.3,1.09,0.0252,1.75,568.0
GJ 3929 b,GJ 3929,17.5,1.15,0.02569,1.21,568.8
GJ 486 b,GJ 486,40.3,1.305,0.01734,2.82,701.0
GJ 486 b,GJ 486,41.3,1.343,0.01713,3.0,706.0
GJ 486 b,GJ 486,39.2,1.289,0.01714,2.77,696.3
